metric,week_id,year,count,week,class
Chat,Week 36,2020,121,36,train
Signup,Week 36,2020,219,36,train
Overall,Week 36,2020,444,36,train
Direct,Week 36,2020,91,36,train
Organic,Week 36,2020,147,36,train
Paid,Week 36,2020,149,36,train
APAC,Week 36,2020,88,36,train
European Union,Week 36,2020,110,36,train
North America,Week 36,2020,192,36,train
Demo,Week 37,2020,103,37,train
Chat,Week 37,2020,139,37,train
Signup,Week 37,2020,213,37,train
Overall,Week 37,2020,455,37,train
Direct,Week 37,2020,99,37,train
Organic,Week 37,2020,156,37,train
Paid,Week 37,2020,149,37,train
APAC,Week 37,2020,92,37,train
European Union,Week 37,2020,137,37,train
North America,Week 37,2020,174,37,train
Chat,Week 38,2020,112,38,train
Demo,Week 38,2020,112,38,train
Signup,Week 38,2020,251,38,train
Overall,Week 38,2020,476,38,train
Direct,Week 38,2020,122,38,train
Organic,Week 38,2020,149,38,train
Paid,Week 38,2020,128,38,train
APAC,Week 38,2020,93,38,train
European Union,Week 38,2020,122,38,train
North America,Week 38,2020,190,38,train
Demo,Week 39,2020,118,39,train
Chat,Week 39,2020,123,39,train
Signup,Week 39,2020,260,39,train
Overall,Week 39,2020,503,39,train
Direct,Week 39,2020,115,39,train
Organic,Week 39,2020,150,39,train
Paid,Week 39,2020,166,39,train
APAC,Week 39,2020,108,39,train
European Union,Week 39,2020,129,39,train
North America,Week 39,2020,209,39,train
Demo,Week 40,2020,99,40,train
Chat,Week 40,2020,122,40,train
Signup,Week 40,2020,225,40,train
Overall,Week 40,2020,446,40,train
Direct,Week 40,2020,109,40,train
Organic,Week 40,2020,133,40,train
Paid,Week 40,2020,148,40,train
APAC,Week 40,2020,95,40,train
European Union,Week 40,2020,115,40,train
North America,Week 40,2020,181,40,train
Chat,Week 41,2020,169,41,train
Demo,Week 41,2020,183,41,train
Signup,Week 41,2020,247,41,train
Overall,Week 41,2020,599,41,train
Direct,Week 41,2020,125,41,train
Organic,Week 41,2020,214,41,train
Paid,Week 41,2020,159,41,train
European Union,Week 41,2020,146,41,train
APAC,Week 41,2020,179,41,train
North America,Week 41,2020,211,41,train
Chat,Week 42,2020,128,42,train
Demo,Week 42,2020,137,42,train
Signup,Week 42,2020,222,42,train
Overall,Week 42,2020,487,42,train
Direct,Week 42,2020,99,42,train
Organic,Week 42,2020,169,42,train
Paid,Week 42,2020,164,42,train
APAC,Week 42,2020,132,42,train
